priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta
0,YESBANK,YESBANKEQN,22.93,22.93,21.55,21.77,23.28,-1.51,-6.49,409417475390.76,27.44,16.02,649923900,0,14135844825.0,,20.663265306122458,-35.89263420724095,1.22,31-May-2024,https://nsearchives.nseindia.com/365d/YESBANK-EQ.svg,02-May-2025,31.53,https://nsearchives.nseindia.com/30d/YESBANK-EQ.svg,https://nsearchives.nseindia.com/today/YESBANKEQN.svg,EQ,"{'symbol': 'YESBANK', 'companyName': 'Yes Bank Limited', 'industry': 'Private Sector Bank', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['IL'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE528G01035', 'slb_isin': 'INE528G01035', 'listingDate': '2005-07-12', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,OLAELEC,OLAELECEQN,52.0,52.0,50.55,50.82,53.68,-2.86,-5.33,45211623396.35,157.4,45.35,167948853,0,8521724801.22,,67.71283354510801,-12.061742006615212,-,-,-,02-May-2025,10.52,https://nsearchives.nseindia.com/30d/OLAELEC-EQ.svg,https://nsearchives.nseindia.com/today/OLAELECEQN.svg,EQ,"{'symbol': 'OLAELEC', 'companyName': 'Ola Electric Mobility Limited', 'industry': '2/3 Wheelers', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE0LXG01040', 'slb_isin': 'INE0LXG01040', 'listingDate': '2024-08-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,SUZLON,SUZLONEQN,71.7,72.4,68.8,68.9,71.19,-2.29,-3.22,817097353386.72,86.04,45.15,25528742,0,1785480215.48,,19.920966992096698,-52.602436323366575,-,-,-,02-May-2025,26.56,https://nsearchives.nseindia.com/30d/SUZLON-EQ.svg,https://nsearchives.nseindia.com/today/SUZLONEQN.svg,EQ,"{'symbol': 'SUZLON', 'companyName': 'Suzlon Energy Limited', 'industry': 'Heavy Electrical Equipment', 'activeSeries': ['EQ', 'T0'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE040H01021', 'slb_isin': 'INE040H01021', 'listingDate': '2005-10-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ADANIPORTS,ADANIPORTSEQN,1470.0,1472.0,1428.7,1429.0,1468.0,-39.0,-2.66,1051688981642.94,1621.4,995.65,702589,0,1013393295.93,,11.866288392747013,-43.5243308391503,2.13,31-May-2024,https://nsearchives.nseindia.com/365d/ADANIPORTS-EQ.svg,02-May-2025,15.86,https://nsearchives.nseindia.com/30d/ADANIPORTS-EQ.svg,https://nsearchives.nseindia.com/today/ADANIPORTSEQN.svg,EQ,"{'symbol': 'ADANIPORTS', 'companyName': 'Adani Ports and Special Economic Zone Limited', 'industry': 'Port & Port services', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE742F01042', 'slb_isin': 'INE742F01042', 'listingDate': '2007-11-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ADANIENT,ADANIENTEQN,2511.0,2512.5,2455.0,2457.9,2518.8,-60.9,-2.42,638449710451.81,3743.9,2025.0,185894,0,460162007.6,,34.34920804508668,-21.37777777777778,-26.16,31-May-2024,https://nsearchives.nseindia.com/365d/ADANIENT-EQ.svg,02-May-2025,9.79,https://nsearchives.nseindia.com/30d/ADANIENT-EQ.svg,https://nsearchives.nseindia.com/today/ADANIENTEQN.svg,EQ,"{'symbol': 'ADANIENT', 'companyName': 'Adani Enterprises Limited', 'industry': 'Trading - Minerals', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE423A01024', 'slb_isin': 'INE423A01024', 'listingDate': '1997-06-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,MAHABANK,MAHABANKEQN,57.75,57.88,56.17,56.28,57.51,-1.23,-2.14,88298574872.58,73.5,42.0,4979873,0,283703364.81,,23.428571428571427,-34.0,-16.71,31-May-2024,https://nsearchives.nseindia.com/365d/MAHABANK-EQ.svg,02-May-2025,13.59,https://nsearchives.nseindia.com/30d/MAHABANK-EQ.svg,https://nsearchives.nseindia.com/today/MAHABANKEQN.svg,EQ,"{'symbol': 'MAHABANK', 'companyName': 'Bank of Maharashtra', 'industry': 'Public Sector Bank', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE457A01014', 'slb_isin': 'INE457A01014', 'listingDate': '2004-04-12', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ATGL,ATGLEQN,687.05,687.95,675.5,677.3,690.35,-13.05,-1.89,187357592385.18,1190.0,532.6,142575,0,96814128.0,,43.084033613445385,-27.16860683439728,-33.58,31-May-2024,https://nsearchives.nseindia.com/365d/ATGL-EQ.svg,02-May-2025,15.11,https://nsearchives.nseindia.com/30d/ATGL-EQ.svg,https://nsearchives.nseindia.com/today/ATGLEQN.svg,EQ,"{'symbol': 'ATGL', 'companyName': 'Adani Total Gas Limited', 'industry': 'LPG/CNG/PNG/LNG Supplier', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE399L01023', 'slb_isin': 'INE399L01023', 'listingDate': '2018-11-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ADANIGREEN,ADANIGREENEQN,1009.1,1009.5,988.0,993.4,1009.1,-15.7,-1.56,303665908970.52,2174.1,758.0,458587,0,456610490.03,,54.30752955245848,-31.05540897097625,-47.12,31-May-2024,https://nsearchives.nseindia.com/365d/ADANIGREEN-EQ.svg,02-May-2025,11.47,https://nsearchives.nseindia.com/30d/ADANIGREEN-EQ.svg,https://nsearchives.nseindia.com/today/ADANIGREENEQN.svg,EQ,"{'symbol': 'ADANIGREEN', 'companyName': 'Adani Green Energy Limited', 'industry': 'Power Generation', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['BE'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE364U01010', 'slb_isin': 'INE364U01010', 'listingDate': '2018-06-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ADANIPOWER,ADANIPOWEREQN,552.55,553.2,545.3,547.35,555.1,-7.75,-1.4,429664939803.31,895.85,432.0,495486,0,272001994.56,,38.901601830663616,-26.701388888888893,-26.55,31-May-2024,https://nsearchives.nseindia.com/365d/ADANIPOWER-EQ.svg,02-May-2025,5.69,https://nsearchives.nseindia.com/30d/ADANIPOWER-EQ.svg,https://nsearchives.nseindia.com/today/ADANIPOWEREQN.svg,EQ,"{'symbol': 'ADANIPOWER', 'companyName': 'Adani Power Limited', 'industry': 'Integrated Power Utilities', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE814H01011', 'slb_isin': 'INE814H01011', 'listingDate': '2009-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,ADANIENSOL,ADANIENSOLEQN,876.55,877.75,861.6,863.7,874.85,-11.15,-1.27,311769631155.94,1348.0,588.0,149276,0,129352132.28,,35.92729970326409,-46.88775510204082,-22.08,31-May-2024,https://nsearchives.nseindia.com/365d/ADANIENSOL-EQ.svg,02-May-2025,-3.56,https://nsearchives.nseindia.com/30d/ADANIENSOL-EQ.svg,https://nsearchives.nseindia.com/today/ADANIENSOLEQN.svg,EQ,"{'symbol': 'ADANIENSOL', 'companyName': 'Adani Energy Solutions Limited', 'industry': 'Power Distribution', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE931S01010', 'slb_isin': 'INE931S01010', 'listingDate': '2015-07-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,IREDA,IREDAEQN,175.5,175.5,172.67,173.25,175.21,-1.96,-1.12,116407289655.33,310.0,137.01,1101762,0,191541323.7,,44.11290322580645,-26.450624042040737,-5.19,31-May-2024,https://nsearchives.nseindia.com/365d/IREDA-EQ.svg,02-May-2025,5.73,https://nsearchives.nseindia.com/30d/IREDA-EQ.svg,https://nsearchives.nseindia.com/today/IREDAEQN.svg,EQ,"{'symbol': 'IREDA', 'companyName': 'Indian Renewable Energy Development Agency Limited', 'industry': 'Financial Institution', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': ['N4', 'N1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE202E01016', 'slb_isin': 'INE202E01016', 'listingDate': '2023-11-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,GODREJCP,GODREJCPEQN,1264.1,1268.7,1252.0,1253.0,1266.1,-13.1,-1.03,598461595494.08,1541.85,979.5,47098,0,59325111.78,,18.733988390569767,-27.92240939254722,-0.33,31-May-2024,https://nsearchives.nseindia.com/365d/GODREJCP-EQ.svg,02-May-2025,0.75,https://nsearchives.nseindia.com/30d/GODREJCP-EQ.svg,https://nsearchives.nseindia.com/today/GODREJCPEQN.svg,EQ,"{'symbol': 'GODREJCP', 'companyName': 'Godrej Consumer Products Limited', 'industry': 'Personal Care', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE102D01028', 'slb_isin': 'INE102D01028', 'listingDate': '2001-06-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,BAJFINANCE,BAJFINANCEEQN,9106.0,9128.0,9021.0,9030.0,9118.5,-88.5,-0.97,2360853751596.86,9660.0,6375.7,99859,0,907003319.56,,6.521739130434782,-41.63150712862902,36.14,31-May-2024,https://nsearchives.nseindia.com/365d/BAJFINANCE-EQ.svg,02-May-2025,2.89,https://nsearchives.nseindia.com/30d/BAJFINANCE-EQ.svg,https://nsearchives.nseindia.com/today/BAJFINANCEEQN.svg,EQ,"{'symbol': 'BAJFINANCE', 'companyName': 'Bajaj Finance Limited', 'industry': 'Non Banking Financial Company (NBFC)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': ['W1', 'N1'], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE296A01024', 'slb_isin': 'INE296A01024', 'listingDate': '2003-04-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
0,HDFCLIFE,HDFCLIFEEQN,748.4,768.5,748.4,761.0,766.7,-5.7,-0.74,812761778770.53,791.1,511.4,656338,0,499131922.24,,3.8048287195044903,-48.807195932733684,39.44,31-May-2024,https://nsearchives.nseindia.com/365d/HDFCLIFE-EQ.svg,02-May-2025,5.35,https://nsearchives.nseindia.com/30d/HDFCLIFE-EQ.svg,https://nsearchives.nseindia.com/today/HDFCLIFEEQN.svg,EQ,"{'symbol': 'HDFCLIFE', 'companyName': 'HDFC Life Insurance Company Limited', 'industry': 'Life Insurance', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': True, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': True, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': False, 'isDelisted': False, 'isin': 'INE795G01014', 'slb_isin': 'INE795G01014', 'listingDate': '2017-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '03-Jun-2025 09:22:14', 'preOpenTime': '03-Jun-2025 09:07:54', 'QuotePreOpenFlag': False}}"
